year,emission
1970,4585363.9
1971,4450198.6
1972,4698340.9
1973,4885719
1974,4721317.5
1975,4512356.1
1976,4806025.5
1977,4967236.9
1978,4962487.8
1979,5000898.9
1980,4777694
1981,4708060.8
1982,4454789
1983,4427846.5
1984,4636149.7
1985,4659240.2
1986,4624801.2
1987,4785017.8
1988,5006876.3
1989,5067981.8
1990,4955641
1991,4913998.5
1992,4987728.2
1993,5102417.1
1994,5182658.2
1995,5236254.6
1996,5392668.9
1997,5560029.1
1998,5587950
1999,5610835.8
2000,5810500.1
2001,5760852.4
2002,5693976.4
2003,5760021.1
2004,5815202.7
2005,5827092.1
2006,5703603.2
2007,5786109.5
2008,5602965.9
2009,5189812.5
2010,5460227
2011,5328566.1
2012,5106466.9
2013,5179078.5
2014,5258401.3
2015,5114424
2016,5011686.6
