year,emission
1970,160028.53
1971,161411.7
1972,167305.85
1973,176948.87
1974,186084.9
1975,192939.41
1976,195731.52
1977,208960.98
1978,205436.36
1979,211211.08
1980,221423.52
1981,222343.46
1982,228635.36
1983,216563.34
1984,222522.57
1985,236968.17
1986,237431.85
1987,248507.66
1988,257354.57
1989,272875.06
1990,276218.11
1991,278257.89
1992,281584.25
1993,285603.64
1994,291368.11
1995,301418.02
1996,311401.49
1997,321008.48
1998,341168.74
1999,350508.71
2000,356572.55
2001,369233.37
2002,380034.91
2003,389476.66
2004,405350.82
2005,410392.54
2006,406549.11
2007,426723.04
2008,429618.64
2009,434941.38
2010,419015.14
2011,426995.05
2012,417773.68
2013,413952.51
2014,405096.55
2015,419088.15
2016,414988.7
